post_type,gou,published_date,post_date,post_status,post_name,fuamc,top,tax_free_article,tax_auto_sorte,tax_land,tax_company,post_title,post_content,tax_related,tax_sum_kubun
"auto","591","2017/04/28","2017/04/28","publish","ai15256","3","0","","buhinmaker","deutschland","Brose","独ブローゼ、中国・東アジアの新しい統括拠点を開設","<p>独自動車部品大手のブローゼ・グループは4月21日、中国の上海工場に隣接して建設した新しい統括拠点の開所式を行った。同拠点から、中国および東アジア地域の事業を調整する。また、中国事業の売上高を、現在の12億ユーロから2025年までに20億ユーロに引き上げる目標も明らかにした。これにより、同社の売上高に占める中国事業の割合は現在の約20％から25％に拡大する見通し。</p><p>新社屋の投資総額は7,200万ユーロ。同拠点には従業員600人が勤務し、中国拠点12カ所と日本、韓国、タイにある6カ所の工場・営業所を統括する。</p><p>ブローゼは20年以上前にウィンドウレギュレーターの生産で中国に進出した。現在は、ドアシステム、シートシステム、電気モーターなど同社の製品全般を生産するほか、現地の開発業務も強化している。中国には現在、従業員約4,000人を抱えている。</p><p>中国では特に自動車の電動化に大きな需要があると見込んでいる。上海の統括拠点では、48ボルト用途に関する開発業務などを強化する方針。</p>","自動車,EU","ドイツ自動車部品工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15254","3","0","","buhinmaker","deutschland","Bosch","独ボッシュ、自動運転用の高精度地図で中国3社と提携","<p>独自動車大手のボッシュは上海で4月19日、中国の検索エンジン大手である百度（Baidu）、地図情報サービス大手の高徳地図（AutoNavi）および四維図新（NavInfo）と、自動運転車の実用化で重要となる高精度地図の作成で協力すると発表した。ボッシュの車載センサー情報と連携して、車両の位置を正確に特定できるようになるという。年内にも今回の協力による最初の地図が完成する見通し。</p><p>また、百度とボッシュは共同で、ジープ「チェロキー」をベースにした部分自動運転車の試験車両の実証試験を高速道路で実施する。同モデルは、周囲の環境を認識するためのミッドセクションレーダーセンサーや多機能カメラ、横滑り防止装置（ESP）、電動パワーステアリングなどのボッシュ製品を装備している。</p><p>ボッシュはこれまでにドイツ、米国、日本で自動運転技術の試験を実施しており、中国は世界で4カ国目となる。</p>","自動車,EU","ドイツ自動車部品工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15249","3","2","","buhinmaker","deutschland","Continental","独コンチネンタル、電気駆動事業に3億ユーロを追加投資","<p>独自動車部品大手のコンチネンタルは4月25日、電気駆動事業に3億ユーロを追加投資すると発表した。2021年までの従来の投資計画に3億ユーロを上乗せする。今回の投資は、「パワートレイン戦略2020+」の一環に位置付けられる。</p><p>同社のパワートレイン部門のハイブリッド電気自動車（HEV）事業では、受注が急速に伸びている。同事業の売上高は、現在の1億3,000万ユーロから2020／21年までに10億ユーロに拡大する見込み。コンチネンタルはさらに、2025年までには同事業の売上高が20億ユーロに拡大する可能性があると予想している。このため、研究開発を中心に3億ユーロの追加投資を決めた。</p><p>コンチネンタルは電気駆動事業に過去5年間で総額10億ユーロを投資している。</p>","自動車,EU","ドイツ自動車部品工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15258","3","4","","auto-etc","deutschland","","ハノーバーメッセ、インダストリー4.0などに注目","<p>ドイツで国際産業見本市「ハノーバーメッセ」（2017年4月24日～28日）が開催された。2017年は、テーマ「産業システムの統合化‐価値の創造（Integrated Industry ‐Creating Value）」のもと、世界約70カ国から6,500社以上が出展した。パートナー国はポーランド。産業のデジタル化を目指す「インダストリー4.0」、機械学習、人工知能、ロボットと人の協業（Cobot）などに注目が集まった。</p><p>出展企業・機関のうち国外からの出展は約60％を占める。ドイツ、中国、イタリア、ポーランド、トルコ、米国からの出展が多く、今年のパートナー国であるポーランドからは約200社が出展した。</p><p>今回の見本市では、故障による産業設備の稼働率の低下を防ぐため、機械学習の技術を活用して故障発生前にメンテナンスを行う予知保全（Predictive Maintenance）、再生可能エネルギーや分散型発電システムを既存の発電所と連携する「エネルギーの統合化（Integrated Energy）」などに注目が集まった。また、作業員の身体的負担を減らすため外骨格（エクソスケルトン）型サポーターや、ロボットと人の協業（Cobot）、作業効率を改善するための仮想現実（バーチャルリアリティ）や拡張現実（AR）、メガネ型データ端末、タブレット端末なども高い関心を集めた。</p>","自動車,EU,イベント","ドイツ自動車工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15259","3","0","","auto-etc","eu","Maersk","海運マースクの独企業買収、条件付で承認","<p>欧州連合（EU）の欧州委員会は4月10日、コンテナ海運世界最大手のマースク・ライン（デンマーク）が独同業ハンブルク・スードを買収する計画を条件付で承認したと発表した。マースクは2016年12月、ハンブルク・スードを買収することで合意していた。買収額は非公表。</p><p>ハンブルク・スードは世界9位のコンテナ海運会社。130隻のコンテナ船を保有している。同611隻を保有するマースクは、買収によって輸送能力を約380万TEU（20フィートコンテナ換算）に拡大し、最大手の地位を強固にすることから、欧州委は競争上の懸念を指摘していた。</p><p>マースクは買収認可を取り付けるため、ハンブルク・スードが◇北欧～中米・カリブ海諸国◇北欧～南アフリカ西海岸◇北欧～中東◇地中海～南アフリカ西海岸◇地中海～南アフリカ東海岸――の5航路で、加盟しているコンテナ船連合から脱退することを提案。欧州委はこれによって競争上の問題が解消されるとして、その実施を条件に買収を承認した。</p><p></p>","EU,M&A事例,海運",""
"auto","591","2017/04/28","2017/04/28","publish","ai15257","3","0","","auto-tanshin","sweden","Autoliv","Autoliv","<p>スウェーデンの安全システム大手オートリブ は4月21日、独自動車大手ダイムラーの高級車ブランド、メルセデスベンツがこのほど上海モーターショーで発表した新型「Sクラス」に複数の高度アクティブセーフティ製品を供給すると発表した。77ギガヘルツのレーダー、ステレオおよびモノビジョンカメラ、先進運転支援システム（ADAS）電子制御ユニット（ECU）などを供給する。メルセデスベンツの新型「Sクラス」は2017年下半期に発売予定。x</p>","自動車,EU","欧州自動車部品工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15257","3","0","","auto-tanshin","deutschland","Porsche","Porsche","<p>独高級スポーツカーメーカーのポルシェ は電気駆動車のラインアップを拡大していく方針だ。独業界紙『オートモビルボッヘ』（4月19日付、電子版）によると、ポルシェのオリバー・ブルーメ社長はこのほど、「Eモビリティとポルシェの相性は極めて良い。2019年に発売予定の純粋な電気自動車『ミッションE』以外でもこのことは証明されるだろう」と述べ、今後さらに電気駆動モデルを増やしていく意向を示した。また、電気駆動の量産車の開発について、「ポルシェ特有の走りを実現するため、レーススポーツの経験を生かしている」と語っている。ポルシェは2017年に新型「パナメーラ」のプラグインハイブリッド車を発売した。年内にさらに新型「カイエン」のプラグインハイブリッド車も市場投入する計画。ブルーメ社長によると、ミッションEの開発は計画通りに進んでおり、パナメーラを改造して駆動装置を試験した後、1週間前から最初のプロトタイプの走行試験を実施している。</p>","自動車,EU","ドイツ自動車工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15257","3","0","","auto-tanshin","deutschland","Daimler","Daimler","<p>独自動車大手ダイムラー傘下のスポーツ・レース系ブランド、メルセデスAMG のトビアス・ムアース社長はこのほど、今年初めに東京にオープンした世界初のAMG販売専門店について、「英国店開設も時間の問題だ」との見方を示した。英自動車専門誌『オートカー』（電子版、4月25日付）が報じた。東京1号店はサーキット場をイメージした臨場感溢れる店内に複数のAMG車を展示している。同社は今後、シドニー、上海、アブダビ（UAE）に専売ショールームを出店する予定。ムアース氏は、英国と本国ドイツについて、「（開店に向けた）具体的な協議はまだ始まっていないが、近い将来実現するだろう」と語っている。</p>","自動車,EU","ドイツ自動車工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15257","3","0","","auto-tanshin","europe","Nissan","Nissan","<p>日産自動車 の欧州法人は4月12日、2016年事業年度の欧州新車販売が前年比2.6％増の75万6,762台となり、過去最高を更新したと発表した。欧州市場におけるシェア（ダットソンを含む）は3.9％に拡大した。年度実績を地域別にみると、スペインは6万9,148台（13.3％増）、英国は17万6,770台（7.5％増）、イタリアは6万5,997台（4.8％増）、フランスは8万464台（4.7％増）、ドイツは7万8,733台（4.7％増）と、主要市場が好調だった。モデル別では、「Xトレイル」、「ジューク」、「キャシュカイ」などのCUVが欧州全体で好調を維持している。また、今年3月に発売した新型「マイクラ」も順調な滑り出しで販売増加に寄与している。なお、昨年度の電気自動車の販売は2万3,000台となり、過去最高を更新した。</p>","自動車,EU","欧州自動車工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15257","3","0","","auto-tanshin","swiss","ABB","ABBの1～3月期は小幅減収、受注減響く","<p>欧州エンジニアリング大手のABB （スイス）が4月20日発表した2017年1～3月期（第1四半期）決算は、売上高が78億5,400万ドルとなり、前年同期から1％減少した。受注が9％減の84億300万ドルに縮小し、小幅ながら減収となった。同期の受注は、1,500万ドルを超える大型受注が50％減ったことで落ち込んだ。ただ、純利益は高圧電力ケーブル事業の売却による特別利益に支えられ、45％増の7億2,400万ドルに拡大。為替変動など特別要因を除いた売上高は3％増だった。</p>","機械,電子、電機,建設、土木","欧州電機・電子産業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","c280417","3","0","","closeup","deutschland","","NextGenAM","<p>ドイツの航空部品メーカーPremium AEROTEC、積層造形装置（3 Dプリンター）メーカーのEOS、自動車大手のダイムラーの3社による次世代の積層造形の量産技術に関する共同開発プロジェクト。</p><p>アルミニウムをベースにした航空機や自動車向けの部品を3Dプリンターで経済的に量産する技術の開発を目指す。同プロジェクトは2017年5月に公式にスタートする。</p><p></p><p>今回のプロジェクトでは、金属粉末の供給から造形後の後処理工程までの一連の生産工程を自動化することにより、生産コストの低減と量産化の可能性を探る。積層造形では、実際の造形工程の前後のプロセスが生産コストの約70％を占めているという。</p><p>同プロジェクトではさらに、アルミニウムを産業向けの積層造形に活用するための研究開発にも取り組む。</p><p></p><p>Premium AEROTECは、航空機用の構造部品を3Dプリンターで量産している実績を持つ。金属粉末は現在、チタンを使用している。</p><p>EOSは今回のプロジェクトでは主に、4機の高出力レーザーを搭載した積層造形装置「EOS M 400-4」を投入する。</p><p>ダイムラーは、経済性を重視した量産工程や、自動車向けの材料・品質に関するノウハウを提供する。</p><p></p><p>3社は共同で数百万ユーロを投資して、独北西部のファーレルにある技術センターに</p><p>自動化した生産システムを設計・組み立て、量産化に向けた開発・試験に取り組む計画。</p>","自動車,EU",""
"auto","591","2017/04/28","2017/04/28","publish","ai15260","3","0","","auto-medemiru","europe","","2017年3月","<p>欧州自動車工業会（ACEA）は4月26日、2017年3月の商用車新車登録統計を発表した。欧州連合（EU）（マルタを除く27カ国）は26万6,930台と、前年同月に比べ10.0％増加した。大幅な増加は、復活祭（イースター）の祝日が昨年は3月にあったが、今年は3月ではなく4月にある影響が大きい。1～3月の累計は、前年同期比7.5％増の60万6,258台だった。</p><p>3月の主要国の登録台数は、英国（1.3％減）が減少したものの、フランス（13.7％増）、ドイツ（17.3％増）、イタリア（17.0％増）、スペイン（24.3％増）の4カ国は2ケタの増加だった。</p><p>カテゴリー別では、すべてで前年同月を上回った。3.5トン以下の小型商用車は、前年同月比10.5％増の22万5,861台。3.5トン超の中・大型トラックは、前年同月比7.1％増の3万6,870台。16トン以上の大型トラックは前年同月比6.2％増の2万9,979台だった。</p><p>バスは前年同月比9.1％増の4,199台。主要国では増減率にばらつきがあり、イタリア（57.8％増）とドイツ（21.6%増）は大幅な2ケタ増、スペイン（6.0％増）、英国（1.7％増）は1ケタの増加、フランス（8.6％減）は前年同月を下回った。</p>","自動車,EU,統計","欧州自動車工業界の動き"
